AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
AKL	Abandoned Kirkby Line	138.01 - 138.50	St Pancras	Possibly near junction with present day RAC
ALB	Queen Alexandra Bridge Branch	0.00 - 1.59	Castledown Junction	nan
ALB	Albion Works Branch	205.42 - 206.00	Paddington via Stroud	205.74 - 206.00 form BAN1
ALC	Aston and Lichfield City Line	see separate portions	nan	nan
ALC1	Aston North Junction to Sutton	0.00 - 5.00	Aston North Junction	nan
ALC2	Sutton to Lichfield City Junction	5.00 - 13.37	Aston North Junction	nan
ALF	Alyth Fork Line (Newtyle Junction to Alyth Junction)	15.10 - 15.56	Ninewells Junction	nan
ALG	Albion Gas Works Branch	0.00 - 0.22	West Bromwich Gas Siding Box	Listed to 0.61
ALH	Alloa Harbour Branch	0.00 - 1.10	Alloa Station Junction	nan
ALK	Aberdare Link Line	22.01 - 22.23	Cardiff Bute Road	Part formerly CWZ
ALL	South Alloa Junction to Longcarse Junction	0.00 - 6.08	Alloa Junction	nan
ALN	Haltwhistle - Alston Line	see separate portions	nan	nan
ALN1	Haltwhistle - Alston (open portion)	0.07 - 0.18	Haltwhistle	nan
ALN2	Haltwhistle - Alston (closed portion)	0.18 - 11.50	Haltwhistle	nan
ALO	Alloa to Oakley Line	8.14 - 22.20	Stirling Middle Junction	nan
ALP	Alexandra Palace Branch	5.03 - 6.55	Kings Cross	nan
ALS	South Alloa Branch	2.78 - 4.45	Alloa Junction	nan
ALT	Altcar and Hillhouse Branch	1.65 - 8.27	Southport	nan
ALW	Longcarse Branch	0.00 - 0.44	Alloa West Junction	nan
ALY	Alyth Branch	0.00 - 5.17	Alyth Junction	nan
AMB	Avonmouth Branch	9.05 - 16.34	Bristol Temple Meads via Patchway	nan
AMC	Aldwarke Main Colliery Branch	0.22 - 0.24	Aldwarke Main Box	nan
AME	Amble Branch	0.00 - 4.79	Amble Junction	nan
AMJ	Ashton Moss Curve (Ashton Moss South to North Junctions)	0.00 - 0.40	Ashton Moss South Junction	nan
AML	Aschurch and Malvern Line	nan	nan	Now AAM
AML	Attenborough to Meadow Lane Junction Line	0.00 - 0.62	Meadow Lane Junction	nan
AMP	Air Ministry Loop	see separate portions	nan	nan
AMP1	Corsham end	96.24 - 96.50	Paddington	nan
AMP2	Lacock end	96.40 - 97.05	Paddington	nan
AMS	Moira West Junction to Shackerstone	0.00 - 8.19	Moira West Junction	Formerly MMW
AMY	Auchmuty Branch	see separate portions	nan	nan
AMY1	Markinch to Leslie Junction	3.59 - 4.16	Leslie	nan
AMY2	Leslie Junction to Auchmuty Tullis Russel Sidings	0.00 - 1.19	Leslie Junction	nan
ANA	Annan Loop	?? - ??	nan	nan
ANB	Annan Branch	0.00 - 12.21	Kirtlebridge	nan
AND	Andoversford Line	0.00 - 59.43	Red Post Junction	Formerly ADL. 0.00 - 5.71 now LUD2
ANH	Airdrie North Branch	10.31 - 10.74	High Street (Glasgow)	nan
ANI	Aberdeen and Inverness Line	see separate portions	nan	nan
ANI1	Aberdeen to Keith	0.00 - 53.05	Aberdeen	nan
ANI2	Forres to Keith	0.00 - 30.40	Forres	nan
ANI3	Forres to Millburn Junction	119.26 - 143.38	Perth via Dava	nan
ANL	Acton and Northolt Line	3.24 - 10.15	Paddington	nan
ANN	Annbank Line	39.43 - 50.30	Bridge Street Station	nan
ANS	Aldwarke North Junction to South Junction Link	6.69 - 7.00	Woodburn Junction	nan
ANZ	Aschurch North Curve	84.42 - 84.62	Derby via Camp Hill Line	nan
AOS	Allhallows-on-Sea Branch	36.79 - 39.60	Charing Cross via Dartford Loop	nan
APB	Ambergate to Pye Bridge Line	133.06 - 138.49	St Pancras	nan
APG	Aberpergwm Branch/No 10 Railway	0.00 - 0.36 + colliery	Aberpergwm Colliery Junction	nan
APL	Appledore Junction to Dungeness	64.58 - 75.42	Charing Cross via Chelsfield and Ashford	nan
APP	Appleby Link	?? - ??	Appleby South Junction	Track never laid
APS	Aberthaw Power Station	4.63 - 7.60	Barry Junction	nan
APY	Austin & Pickersgill's Yard Branch	0.00 - 4.28	Southwick Junction	nan
AQL	Arcow Quarry Line	240.68 - 241.20	St Pancras	nan
ARB	Alcester Branch	0.00 - 6.00	Alcester Branch Junction	nan
ARC	Arkwright Colliery Branch	53.06 - 56.24	Manchester London Road via Woodhead	nan
ARD	Alphington Road Goods Branch	0.00 - 0.46	Alphington Road Goods Junction	Formerly ARG. 0.00 - 0.26 included in EXR sidings from 1966
ARE	Angel Road to Edmonton Branch	7.62 - 9.03	Liverpool Street	nan
ARG	Alphington Road Goods Branch	nan	nan	Now ARD
ARG	Argyle Line (Partick to Rutherglen)	see separate portions	nan	nan
ARG1	Rutherglen Central Junction to Strathclyde Junction	0.00 - 0.31	Rutherglen Central Junction	nan
ARG2	Strathclyde Junction to Finnieston Junction	0.31 - 4.74	Rutherglen Central Junction	nan
ARH	Ardrossan Harbour Branch	30.44 - 31.51	Bridge Street Station	nan
ARL	Arthington Loop	0.00 - 0.22	Arthington North Junction	nan
ARM	Armadale Branch	0.00 - 1.63	Armadale Junction	nan
ARN	Ardrossan Harbour Junction to Ardrossan North Branch	see separate portions	nan	nan
ARN1	Ardrossan Harbour Junction to BR/CPA boundary	0.00 - 0.27	Ardrossan Harbour Junction	nan
ARN2	BR/CPA boundary to Ardrossan North	11.65 - 12.35	Kilbirnie Junction	nan
ASB	Ashwell Branch	0.00 - 2.19	Ashwell Branch Junction	nan
ASC	Shackerstone to Coalville Line	0.00 - 6.11	Coalville Junction	nan
ASC	Abergavenny South Curve	nan	nan	Now ABS
ASE	Nuneaton Ashby Junction to Shackerstone Line	8.19 - 17.61	Moira West Junction	nan
ASH	Stoke Golding to Hinckley	&ap;14.60 - 17.41	Moira West Junction	Line never opened
ASK	Askew Bridge Branch	147.02 - 147.28	Paddington via Didcot and Charlbury	nan
ASN	Aldwarke South Junction Link	164.43 - 164.48	St Pancras via Leicester and Toton	nan
ASS	Ashes Branch	0.00 - 0.10	Ashes Branch Junction	Junction on WAY, originally went to 0.29
AST	Astley Bridge Branch	11.41 - 12.49	Manchester Victoria	nan
ATF	Ash Junction to Farnham Junction via Tongham	35.50 - 39.22	Waterloo via Worplesdon and Guildford (reverse)	nan
ATG	Turnham Green to Gunnersbury Junction	9.52 - 9.76	Waterloo via Kensington Junction and Turnham Green	nan
ATH	Ashford D Junction to Hastings	56.20 - 82.34	Charing Cross via Chelsfield	nan
ATL	Atlantic Line/South London Line	3.47 - 7.35	London Bridge	nan
ATW	Aberthaw Branch	0.00 - 11.67	Llantrisant Station	nan
ATZ	Ashburnham Tinplate Works	0.00 - 0.24	Ashburnham Tinplate Works Junction	nan
AUC	Auchmuty Branch	3.59 - 4.16	Leslie	Now AMY1
AUD	Audley to Alsager (Halmerend Branch)	0.00 - 7.37	Keele Junction	nan
AVB	Almond Valley Junction to Crieff	0.00 - 16.13	Almond Valley Junction	nan
AVD	Avonmouth Dock Branch	8.31 - 9.05	Bristol Temple Meads	nan
AVE	Avenue Branch	0.00 - 3.55	Monkseaton Junction	nan
AVN	Aberavon Branch	0.00 - 0.47	Tanygroes South Junction	nan
AWB	Acton Wells Branch	nan	nan	Now AWL
AWC	Alloa West Yard to Coal Depot	see separate portions	nan	nan
AWC1	Alloa West Yard Junction to mileage change	4.61 - 5.70	Stirling	nan
AWC2	End of spur to mileage change to Coal Depot	4.74 - 6.10	Stirling	nan
AWI	Awsworth Iron Works Branch	127.73 - 128.13	St Pancras via Toton and junction with DIG (reverse)	nan
AWL	Acton Wells Branch	0.00 - 0.49	Poplar Junction	Formerly AWB
AWM	Alderbury Junction to West Moors	0.00 - 18.37	Alderbury Junction	nan
AWP	Anlaby Road Junction to West Parade Junction Curve	0.00 - 0.24	Anlaby Road Junction	nan
AYB	Aylesbury Branch (Princes Risborough to Aylesbury)	nan	nan	Now PRA
AYH	Ayr Harbour Branch	see separate portions	nan	nan
AYH1	Newton Junction to Ayr Harbour Boundary	0.00 - 0.65	Newton Junction	nan
AYH2	Falkland Junction to Ayr Harbour Junction via Falkland Yard	38.73 - 39.42	Bridge Street Station	nan
AYL	Abbeyhill to Craigentinny Line	see separate portions	nan	nan
AYL1	Abbeyhill to mileage change	0.65 - 1.35	Edinburgh Waverley	nan
AYL2	Mileage change to mileage change	0.40 - 0.77	Easter Road Junction	nan
AYL3	Mileage change to Craigentinny	1.72 - 2.13	Edinburgh Waverley	Piershill Junction to Craigentinny Junction paralleling ECM8
AYR	Ayr Line	see separate portions	nan	nan
AYR1	Bridge Street Junction to Paisley Gilmour Street	0.00 - 6.53	Bridge Street Junction	nan
AYR2	Paisley Gilmour Street to Stoneybrae	6.73 - 7.00	Bridge Street Station	nan
AYR3	Stoney Brae to Dalry Junction	7.00 - 22.53	Bridge Street Station	nan
AYR4	Dalry Junction to Barassie Junction	22.53 - 33.08	Bridge Street Station	nan
AYR5	Barassie Junction to Lochgreen Junction	0.00 - 2.15	Barrasie Junction	nan
AYR6	Lochgreen Junction to Ayr	35.05 - 40.49	Bridge Street Station	nan
AYS	Ashburys Yard Sidings	1.32 - 2.50	Manchester Piccadilly	nan
AYT	Aberystwyth Branch	0.00 - 41.15	Pencader Junction	nan
BAA	Basingstoke to Alton Butts Junction Line	&ap;48.28 - 60.53	Waterloo	nan
BAB	Bangor to Bethesda Branch	0.00 - 4.26	Bangor	nan
BAC	Barrow Hill and Creswell Line	see separate portions	nan	nan
BAC1	Barrow Hill Colliery Line	149.54 - 150.47	St Pancras via Leicester and Toton	nan
BAC2	Barrow Hill North (Goods Line) Junction to Seymour Junction	149.45 - 152.21	St Pancras via Leicester and Toton	nan
BAC3	Elmton And Creswell Junction to Seymour Junction	149.35 - 155.10	St Pancras via Corby and Newstead	nan
BAD	Boars Head to Adlington Branch	0.00 - 3.45	Boars Head Junction	nan
BAE	Basingstoke and Exeter Line	see separate portions	nan	nan
BAE1	Worting Junction to Fisherton Short Mile	50.21 - 83.72	Waterloo	nan
BAE2	Fisherton Short Mile to Exeter St Davids	84.00 - 172.04	Waterloo	nan
BAF	Ballinluig to Aberfeldy Branch	23.37 - 32.12	Perth	nan
BAG	Birmingham and Gloucester Line	see separate portions	nan	nan
BAG1	Birmingham New Street to Kings Norton	42.38 - 47.48	Derby	nan
BAG2	Kings Norton to Gloucester	46.42 - 92.68	Derby	86.74 - 90.03 formerly 5.74 - 2.70 ex Gloucester in CHE
BAH	Barnsley and Horbury Station Junction Line	see separate portions	nan	nan
BAH1	Horbury Station Junction to Crigglestone Junction	44.13 - 45.56	Manchester Victoria via Rochdale, Horbury Station Junction and Crigglestone Junction	nan
BAH2	Crigglestone Junction to Barnsley Station Junction	45.56 - 52.60	Manchester Victoria via Rochdale, Horbury Station Junction and Crigglestone Junction	nan
BAI	Bainsford Branch	0.00 - 1.44	Swing Bridge Junction	nan
BAK	Barassie and Kilmarnock Line	0.00 - 7.57	Kilmarnock Junction	nan
BAL	Bridgend and Abergwynfi Line	0.00 - 14.29	Bridgend	nan
BAM	Barnsley Branch (Midland)	see separate portions	nan	nan
BAM1	Cudworth South Junction to Chapeltown Line Junction	175.41 - 178.25	St Pancras via Darfield	nan
BAM2	Barnsley West Junction to Court House Junction	173.69 - 174.77	St Pancras via Wombwell	nan
BAN	Baglan Branch	see separate portions	nan	nan
BAN1	Junction with SWM2 to Baglan Branch Junction	205.74 - 206.00	Paddington via Stroud	BAN1 ex Albion Branch
BAN2	Baglan Branch Junction to end of branch	0.00 - 0.36 + sidings	Baglan Branch Junction	nan
BAP	Bargoed and Pant Line	18.10 - 27.46	Cardiff East Dock	nan
BAR	Bargoed Loop	nan	nan	Now BDP
BAR	Barton-On-Humber Branch	100.44 - 110.19	Manchester London Road via Woodhead	nan
BAS	Canons Marsh Branch	nan	nan	Now CMH
BAS	Barrack Street Branch	0.00 - 0.25	Glasgow High Street East Junction	Barracks Goods Station (North British Railway)
BAT	Barnton Branch	2.09 - 3.63	Princes Street	nan
BAU	Bangour to Uphall Branch	0.00 - 2.09	Bangour Asylum Branch Junction, Uphall	nan
BAW	Avonside Branch	128.73 - 130.01	Derby	Part = part BPS
BAX	Bridge House Junction to Baxter Wood No 1 Line	0.00 - 0.55	Bridge House Junction	nan
BAX1	Dearne Valley Junction to Baxter Wood Junction	0.00 - ??	Dearne Valley Junction	nan
BAY	Bricklayers Arms Branch	0.00 - 1.66	Bricklayers Arms	nan
BAZ	Barnstaple Loop	207.79 - 209.19	Paddington via Box and Barnstaple Victoria Road (reverse)	nan
BAZ	Bristol Temple Meads Upper Approach Road	nan	nan	Road only
BBA	Brinsley Branch	139.41 - 140.16	Kings Cross	nan
BBB	Blackburn and Bolton Branch	10.55 - 24.08	Manchester Victoria	nan
BBC	Bretby Branch	0.00 - 2.48	Bretby Branch Junction	nan
BBD	Bournemouth West Carriage Sidings	see separate portions	nan	nan
BBD1	Bournemouth West Carriage Sidings	0.00 - 1.12	Bournemouth West buffer stops	Probably replaced by BBD9
BBD9	Bournemouth West Carriage Sidings	0.00 - 1.12	Bournemouth West buffer stops	nan
BBE	Bonnybridge Branch	106.45 - 107.31	Carlisle via Ravenscraig No 1	nan
BBG	Banbury Branch (GCR)	0.00 - 8.17	Culworth Junction	nan
BBH	Bolton Branch	7.71 - 14.78	Maryport	nan
BBJ	Balham to Beckenham Junction Line	4.69 - 11.62	Victoria	nan
BBK	Billingham Beck Branch	60.50 - 65.26	Leeds Wortley Junction via Harrogate Starbeck and Northallerton Low Level	nan
BBL	Brynmawr and Blaenavon Line	nan	nan	Now BWB
BBL	Bennerley to Bulwell Line	127.35 - 132.71	St Pancras via Toton	nan
BBM	Bletchley to Bedford Midland Branch	0.00 - 16.57	Bletchley	nan
BBN	Babbington Branch	126.33 - 127.35	St Pancras	nan
BBO	Bentley Junction to Bordon	44.42 - 49.04	Waterloo via Worplesdon and Guildford (reverse)	nan
BBP	Butler Street Goods branch	28.40 - 28.65	Liverpool Exchange	nan
BBR	Barnham and Bognor Regis Line	22.35 - 25.75	Brighton	nan
BBS	Bamber Bridge Sidings	1.73 - 2.26	Farington Curve Junction	nan
BBS	Various Sidings	see separate portions	nan	nan
BBS1	Blackburn Station Sidings	10.27 - 10.48	Farington Curve Junction	nan
BBS2	Blackburn East Lancs Sidings	10.25 - 10.50	Farington Curve Junction	nan
BBS3	Bolton Road Goods Sidings	9.51 - 10.30	Farington Curve Junction	nan
BBS4	Blackburn Kings Street Sidings	9.55 - 10.07	Farington Curve Junction	nan
BBW	Bradley Junction to Bradley Wood Junction Curve	0.00 - 1.17	Bradley Junction	nan
BBX	Bedford St Johns West to Bedford St Johns East Curve	0.00 - 0.10	Bedford St Johns West Junction	nan
BBY	Batley to Birstall Branch	0.00 - 1.71	Birstall Junction	nan
BBY	Battersea Yard	&ap;1.00 - 1.23	London Victoria	nan
BBZ	Butts Branch	121.17 - 122.23	Paddington via Didcot and Charlbury	nan
BCA	Bedford to Cambridge Line	15.71 - 45.23	Bletchley	nan
BCB	Black Carr Junction to Bessacarr Junction Curve	115.72 - 116.44	Huntingdon South Junction via St Ives (reverse)	nan
BCC	Bullcroft Colliery Branch	0.00 - 1.66	Bullcroft Junction	nan
BCE	Bolsover Colliery Empties	5.64 - 5.78	Pleasley Colliery West Junction	Also known as Bolsover Castle Sidings
BCG	Birmingham Central Goods Branch	0.00 - 0.76	Central Goods Station Branch Junction	nan
BCH	Balloch Branch	16.39 - 21.05	Glasgow Queen Street High Level via Cowlairs and Maryhill	nan
BCJ	Birmingham Curve Junction to Branston Junction	126.40 - 127.19	St Pancras	nan
BCL	Banbury and Cheltenham Line (Kingham to Cheltenham)	84.59 - 108.02	Paddington via Didcot and Charlbury	nan
BCM	Brookhouse Colliery Branch/North Staveley Curve	155.51 - 156.68	St Pancras	nan
BCN	Bangor and Caernarvon Branch	0.00 - 7.23	Bangor	nan
BCO	Bentley Colliery Branch	0.00 - 0.25	Bentley Colliery Junction South	nan
BCP	Bacup Branch	14.23 - 21.60	Manchester Victoria	nan
BCR	Blackpool Carriage Sidings	16.69 - 17.30	Preston	nan
BCS	Bletchley Carriage Sidings	46.67 - &ap;47.18	Euston	nan
BCS	British Steel Corby Branch	nan	nan	See BSC
BCU	Blaydon South East Curve	?? - ??	nan	nan
BCV	Bordesley Junction to Tyseley Line	125.57 - 128.11/ 41.44 - 41.78	Paddington/Derby	nan
BCY	Barrow Colliery Branch	0.00 - 0.45	Branch Junction	nan
BDB	Bridgwater Dock Branch	151.42 - 152.41	Paddington via Box and Bridgwater Junction (reverse)	nan
BDC	Border Counties Line	0.00 - 40.62	Hexham	nan
BDD	Devil's Dyke Branch	0.00 - 3.49	Dyke Junction	nan
BDE	Bottesford East Curve	113.28 - 113.58	Kings Cross	nan
BDG	Brechin to Bridge of Dun line	0.00 - 3.78	Bridge of Dun Junction	nan
BDH	Brent Curve Junction to Dudding Hill Junction	0.00 - 1.03	Brent Curve Junction	nan
BDL	Barry Docks High Level Lines	5.74 - 8.52	Cardiff Central	nan
BDM	Bow Depot Midland	0.00 - 0.32	Midland Junction	nan
BDN	Bridge Street Junction to Duston North Junction	0.00 - 0.18	Bridge Street Junction	nan
BDO	Low Level Lines Dock No. 2 (Barry)/Barry Docks Low Level Lines	6.19 - 8.72	Cardiff Central	nan
BDO2	Low Level Lines Dock No. 1 (Barry)/Sully Moors Extension	6.76 - 8.12	Cardiff Central	nan
BDP	Bargoed Loop	15.10 - 15.72	Bassaleg Junction	Formerly BAR
BDS	Bidston West Junction to Seacombe Junction	0.09 - 0.37	Bidston	nan
BDU	Beddau Branch	0.00 - 1.00	Beddau Branch Junction (part of Aber Junction)	nan
BDW	Bond End Wharf Branch	0.00 - 0.67	Wellington Street Junction	nan
BDZ	Bwllfa Dare Branch	0.00 - 1.64	Dare Junction	nan
BEA	Barnt Green Evesham and Ashchurch Line	51.58 - 84.58	Derby via Camp Hill Line	nan
BEB	Beeston to Batley Branch	0.00 - 4.76	Beeston Junction	Remiled from Batley Junction 0.00 to Tingley Junction 2.12
BEC	Bevercotes Colliery Branch	0.00 - 5.13	Boughton Junction	nan
BED	Bestwood Colliery Branch	0.00 - 1.03/ 132.07 - 133.10	Bestwood Junction/Kings Cross	nan
BEE	Bellsdyke Branch (Airdrie North)	?? - ??	nan	nan
BEG	Beggarlee Branch	130.13 - 130.48	St Pancras	nan
BEH	Brechin Branch	?? - ??	nan	nan
BEI	Beighton to Annesley Branch	48.73 - 70.15	Manchester London Road	nan
BEJ	Buxton and Edgeley Junction Branch	0.00 - 19.09	Edgeley Junction No 1	nan
BEK	Beckermet Branch	0.00 - 1.28	Beckermet Mines Junction	nan
BEL	Barnstaple East Loop	nan	nan	Now BEP
BEL	Bedlay Loop	0.00 - 7.51	Kirkintilloch Monkland Railway Canal Basin	nan
BEM	Birkenhead and Bidston (Mersey Docks) Branch	0.00 - 0.42	Bidston East Junction	nan
BEN	Birkenhead and New Brighton Branch	4.40 - 7.18	Liverpool Central Low Level	nan
BEP	Barnstaple East Loop	207.24 - 207.48	Paddington via Box	Formerly BEL
BES	Blaydon to Scotswood	2.65 - 3.78	Newcastle	nan
BEV	Beaufort and Ebbw Vale High Level Line	0.00 - 1.40	Ebbw Vale Junction	nan
BEW	Beighton Junction and Woodhouse Junction Branch	46.56 - 48.06	Manchester London Road via Woodhead	nan
BEX	Boscarne Extension	nan	nan	Now BOE
BEX	Bexleyheath Line	5.54 - 15.36	Charing Cross	nan
BEY	Bellshill Colliery Branch	0.00 - 0.32	Bellshill Box	Caledonian Railway route
BEZ	Lynton and Barnstaple Railway	0.00 - 19.23	Barnstaple Town Station	nan
BFB	Bradford Branch	0.00 - 9.11	Bathampton Junction	nan
BFC	Bacon Factory Chord	0.00 - 0.63	Europa Junction	nan
BFD	Bideford Goods Branch	219.66 - 220.15	Waterloo	Formerly BID
BFG	Stonebridge Park Depot	2.14 - 2.56	Kensal Green Junction	nan
BFJ	Buxton Flying Junction Line	18.56 - 19.02	Edgeley Junction No 1	nan
BFK	Blackhill Fork	3.53 - 4.09	Dalmarnock Junction	nan
BFL	Bradford on Avon Loop	104.11 - 104.36	Paddington via Melksham	nan
BFO	Bletchley Flyover	0.00 - 1.48	Bletchley Flyover Junction	nan
BFS	Spare Code	nan	nan	nan
BFZ	Briton Ferry Dock Branch	0.00 - 0.55	Dock Junction/Treherbert	nan
BGB	Bankfield Goods Branch	0.00 - 1.02	Bootle Station Junction	nan
BGC	Boat of Garten to Craigellachie Line	67.67 - 98.03	Aberdeen	nan
BGD	Burghead Branch	0.00 - 4.72	Alves Junction	nan
BGE	Boldon West Curve	0.00 - 0.56	Boldon Colliery Junction	nan
BGF	Burghead and Hopeman Branch	4.72 - 6.51	Alves Junction	nan
BGG	Burghead Harbour Branch	0.20 - 0.60	Burghead	nan
BGH	Brampton and Gashouse Branch/Brampton Goods Branch	0.00 - 1.21	Brampton Branch Junction	nan
BGK	Bethnal Green and King's Lynn Line	1.14 - 96.75	Liverpool Street	nan
BGL	Bristol and Gloucester Line	see separate portions	nan	nan
